Core	Longitude	Latitude	Depth	RecentDate	OldestDate	Proxy	Species	Reference
GIK13239	-18.31	13.88	3156	8.2	39.52	Benthic foraminifera	Uvigerina hollicki	Sarnthein et al., 1994
GIK13289	-18.01	18.07	2490	2.8	34.95	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK13289	-18.01	18.07	2490	2.8	34.95	Benthic foraminifera	Uvigerina peregrina	Sarnthein et al., 1994
GIK13519	-19.85	5.67	2862	0.73	781.74	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK13519	-19.85	5.67	2862	0.73	781.74	Benthic foraminifera	Uvigerina hollicki	Sarnthein et al., 1994
GIK15637	-18.99	27.01	3849	7.13	446.99	Benthic foraminifera	Uvigerina hollicki	Sarnthein et al., 1994
GIK15637	-18.99	27.01	3849	7.13	446.99	Benthic foraminifera	Cibicides wuellerstorfi	Sarnthein et al., 1994
GIK15669-1	-7.82	34.89	2022	2	119.34	Benthic foraminifera	Cibicides wuellerstorfi	Zahn thesis (1986)
GIK16402-1	-20.57	14.42	4324	0.02	59.84	Planktonic foraminifera	Globigerinoides sacculifer	Sarnthein et al., 1994
GIK16408-5	-21.5	9.01	4239	0.24	26.8	Planktonic foraminifera	Globigerinoides ruber w	Sarnthein et al., 1994
GIK16408-5	-21.5	9.01	4239	0.24	26.8	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK16459-1	-26.19	7.28	4835	3.03	34.11	Benthic foraminifera	Cibicides wuellerstorfi	Gif
GIK16459-1	-26.19	7.28	4835	3.03	34.11	Planktonic foraminifera	Globigerinoides ruber w	Gif
GIK16771-2	-15.5	0.8	2764	1.47	162.05	Planktonic foraminifera	Globigerinoides sacculifer	Sarnthein et al., 1994
GIK16771-2	-15.5	0.8	2764	1.47	162.05	Planktonic foraminifera	Globigerinoides ruber w	Sarnthein et al., 1994
