Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI
51	89.528	32.098	4724	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
52	89.528	32.098	4724	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
53	89.528	32.098	4724	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
54	89.528	32.098	4724	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
55	89.528	32.098	4724	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
56	91.857	32.572	5133	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
57	91.857	32.572	5133	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
58	95.977	34.158	4701	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
59	95.977	34.158	4701	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
60	95.977	34.158	4701	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
61	95.977	34.158	4701	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
62	95.977	34.158	4701	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
63	98.65	35.227	4095	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
64	98.65	35.227	4095	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
65	98.65	35.227	4095	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
66	98.65	35.227	4095	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
67	98.65	35.227	4095	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010
68	31.17	1.835	615	7.1178434	14.334423	Lake	Non-Carbonate	10.1016/j.palaeo.2014.04.014
69	31.17	1.835	615	7.1178434	14.334423	Lake	Non-Carbonate	10.1016/j.palaeo.2014.04.014
70	31.17	1.835	615	7.1178434	14.334423	Lake	Non-Carbonate	10.1016/j.palaeo.2014.04.014
71	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
72	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
73	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
74	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
75	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
76	9.621444	58.042222	285	-0.043	0.401	Ocean	Benthic foraminifera	10.1191/0959683605hl931rp
77	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
78	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
79	9.621444	58.042222	285	-0.05	0.444	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
80	9.621444	58.042222	285	-0.05	0.444	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
81	9.621444	58.042222	285	-0.05	0.444	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
82	9.621444	58.042222	285	-0.05	0.422	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
83	9.621444	58.042222	285	-0.05	0.434	Ocean	Benthic foraminifera	10.1016/j.marmicro.2007.09.002
84	8.709083	57.840556	420	-0.043	1.06	Ocean	Benthic foraminifera	10.1191/0959683605hl931rp
85	8.709083	57.840556	420	-0.05	1.06	Ocean	Benthic foraminifera	10.1191/0959683605hl931rp
86	8.709083	57.840556	420	-0.05	1.06	Ocean	Benthic foraminifera	10.1191/0959683605hl931rp
87	8.709083	57.840556	420	-0.043	1.06	Ocean	Benthic foraminifera	10.1191/0959683605hl931rp
88	17.43	36.45	3376	13.20350877	102.3226695	Ocean	Planktonic foraminifera	10.1038/23432
89	17.43	36.45	3376	2.122257053	110.8167765	Ocean	Planktonic foraminifera	10.1038/23432
90	11.11	48.01	533	-0.01208	15.58837	Lake	Carbonate	10.1126/science.284.5420.1654 
91	-77.5	-9	6050	-0.043	0.056	Ice	Ice	10.1126/science.269.5220.46
92	-77.5	-9	6050	-0.043	0.056	Ice	Ice	10.1126/science.269.5220.46
93	-77.5	-9	6050	-0.043	0.056	Ice	Ice	10.1126/science.269.5220.46
94	-77.5	-9	6050	-0.043	0.056	Ice	Ice	10.1126/science.269.5220.46
95	-70.36	-73.59	1400	-0.0555	0.0925	Ice	Ice	10.1029/2009GL040104
96	35.5	29.45	19	-0.042	0.162	Ocean	Coral	10.1007/s00338-003-0321-6
97	35.5	29.45	19	-0.042	0.162	Ocean	Coral	10.1007/s00338-003-0321-6
98	35.5	29.45	19	-0.042	0.064	Ocean	Coral	ISSN0936-5788
99	35.5	29.45	19	-0.05048	-0.04901	Ocean	Coral	10.1007/s00338-003-0321-6
100	35.5	29.45	19	-0.05048	-0.04855	Ocean	Coral	10.1007/s00338-003-0321-6
101	35.5	29.45	19	-0.04921	-0.04021	Ocean	Coral	10.3354/meps239301
102	35.5	29.45	19	-0.04908	-0.04425	Ocean	Coral	10.1007/s00338-003-0321-6
103	35.5	29.45	29	-0.05048	-0.04911	Ocean	Coral	10.1007/s00338-003-0321-6
104	35.5	29.45	42	-0.05046	-0.049	Ocean	Coral	10.1007/s00338-003-0321-6
105	35.5	29.45	7	-0.05046	-0.0492	Ocean	Coral	10.1007/s00338-003-0321-6
106	34.96667	29.43333	1	-0.042	0.162	Ocean	Coral	ISSN0936-5788
107	34.96667	29.43333	1	-0.042	0.064	Ocean	Coral	ISSN0936-5788
108	35.35	26.2	1475	3.9468	6.2884	Ocean	Planktonic foraminifera	10.1016/j.yqres.2006.05.006
109	47.13667	79.925	388	0	9.649968362	Ocean	Benthic foraminifera	10.1111/j.1502-3885.2001.tb00984.x
110	47.13667	79.925	388	0	9.875273665	Ocean	Benthic foraminifera	10.1111/j.1502-3885.2001.tb00984.x
111	47.13667	79.925	388	0	9.875273665	Ocean	Benthic foraminifera	10.1111/j.1502-3885.2001.tb00984.x
112	47.13667	79.925	388	0	10.71803979	Ocean	Planktonic foraminifera	10.1111/j.1502-3885.2001.tb00984.x
113	24	79.83	750	-0.048	0.55	Ice	Ice	10.1111/j.0435-3676.2005.00253.x
114	-21.551	65.9566	94	0.1	1.6	Ocean	Benthic foraminifera	10.1002/jqs.1487
115	-24.197	66.679	235	0.1	1.6	Ocean	Benthic foraminifera	10.1002/jqs.1487
116	-24.197	66.679	235	0.1	1.6	Ocean	Planktonic foraminifera	10.1002/jqs.1487
117	-70.086	70.459	68	-0.053	0.499	Lake	Non-Carbonate	10.1007/s10933-012-9584-7
118	0.0684	-75.0025	2891	-0.045	33.625	Ice	Ice	10.3189/172756404781814032
119	-80.889	24.080667	955	60	142	Ocean	Planktonic foraminifera	10.1029/2010PA002015
120	-80.889	24.080667	955	60	142	Ocean	Benthic foraminifera	10.1029/2010PA002015
121	-80.889	24.080667	955	60	142	Ocean	Planktonic foraminifera	10.1029/2010PA002015
122	30.196667	43.4866	1202	7.925	28.303	Ocean	Others	10.1016/j.epsl.2005.10.036
123	30.068333	43.648333	465	7.781	15.894	Ocean	Others	10.1016/j.epsl.2005.10.036
124	-118.16667	37.45	3200	-0.055	0.865	Tree	Cellulose	10.1016/j.yqres.2011.05.004  
125	-118.16667	37.45	3200	-0.055	0.15	Tree	Cellulose	10.1016/j.yqres.2011.05.004  
126	-66	-22	3500	-0.048	0.073	Tree	Cellulose	10.1175/2010EI277.1
127	-66	-22	3500	-0.048	0.073	Tree	Cellulose	10.1175/2010EI277.1
128	-69.2	-12.6	265	-0.054	0.13	Tree	Cellulose	10.1175/2010EI277.1
129	-69.2	-12.6	265	-0.054	0.085	Tree	Cellulose	10.1175/2010EI277.1
130	124.08	-17.33	100	36.312	39.971	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
131	124.08	-17.33	100	8.367	11.173	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
132	124.08	-17.33	100	18.496	24.379	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
133	124.08	-17.33	100	32.617	40.174	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
134	124.08	-17.33	100	22.772	27.128	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
135	124.08	-17.33	100	8.373	16.788	Speleothem	Speleothem	10.1016/j.quascirev.2013.04.012
136	73.53	5.04	2446	6	890	Ocean	Planktonic foraminifera	10.1016/0012-821X(94)90244-5
137	-57.6	33.68333	4418	0.047	2.867	Ocean	Planktonic foraminifera	10.1126/science.274.5292.1504
138	-64.7	32.466667	0	0.34579	0.43079	Ocean	Coral	10.1016/S0031-0182(01)00410-2
139	-88.86	17.12	45	-0.05076	-0.0234	Speleothem	Speleothem	10.1126/science.1076446 
140	-110.8	31.8	1700	11.484	53.335	Speleothem	Speleothem	10.1038/NGEO707
141	86.56	49.8067	4115	-0.025	0.695	Ice	Ice	10.1029/2008GL035930
142	-83.6083	7.8558	1368	0.492	28.29	Ocean	Planktonic foraminifera	10.1029/2005PA001208
143	-83.6083	7.8558	1368	0.857	28.29	Ocean	Planktonic foraminifera	10.1029/2005PA001208
144	-83.606967	7.855867	1363	0.766	30.21	Ocean	Planktonic foraminifera	10.1029/2005PA001208
145	-83.606967	7.855867	1363	1.222	30.21	Ocean	Planktonic foraminifera	10.1029/2005PA001208
146	-46.283	-78.3	730	-0.039	-0.02	Ice	Ice	hdl:10013/epic.15271.d001
147	-46.283	-78.3	730	-0.039	-0.02	Ice	Ice	hdl:10013/epic.15271.d001
148	-46.283	-78.3	730	-0.039	-0.038	Ice	Ice	hdl:10013/epic.15271.d001
149	-45.617	-79.658	940	-0.039	-0.012	Ice	Ice	hdl:10013/epic.15271.d001
150	-45.617	-79.658	940	-0.039	-0.012	Ice	Ice	hdl:10013/epic.15271.d001
151	-45.617	-79.658	940	-0.039	-0.037	Ice	Ice	hdl:10013/epic.15271.d001
152	-45.72433	-79.61416	886	-0.044	0.95	Ice	Ice	10.3189/172756402781817176
153	33.2	-1.23333	68	1.372664	15.176125	Lake	Non-Carbonate	10.1016/j.quascirev.2012.08.014
154	33.2	-1.23333	68	1.372664	15.176125	Lake	Non-Carbonate	10.1016/j.quascirev.2012.08.014
155	33.2	-1.23333	68	1.372664	14.941292	Lake	Non-Carbonate	10.1016/j.quascirev.2012.08.014
156	9.473	78.55567	388	6.6	22.9	Ocean	Others	10.1126/science.1246298
157	9.473	78.55567	388	3.4	5	Ocean	Others	10.1126/science.1246298
158	9.4258	78.6118	380	4.6	8.2	Ocean	Others	10.1126/science.1246298
159	90	27.98	3500	-0.061	0.184	Tree	Cellulose	10.1002/jgrd.50664
160	90	27.98	3500	-0.061	0.207	Tree	Cellulose	10.1002/jgrd.50664
161	90	27.98	3500	-0.061	0.207	Tree	Cellulose	10.1002/jgrd.50664
162	90	27.98	3500	-0.061	0.207	Tree	Cellulose	10.1002/jgrd.50664
163	-20.92694	4.77056	2693	1.08	711.575	Ocean	Planktonic foraminifera	10.1016/S0921-8181(02)00062-0
